uid	name	conference	division	colhelmet	colshirt	colpants	coltertiary	tla	defense	offense	wins	losses	ties	roof	rainfall	snowfall	helmet
0	Ohio State	0	0	$ffffff	$0202d9	$ffffff	$ba0000	OHS	7	7	0	0	0	0	40	89	0
1	Alabama	0	0	$ffffff	$008E97	$ffffff	$008E97	ALA	7	4	0	0	0	0	59	0	0
2	TCU	0	0	$B0B7BC	$002244	$002244	$FFFFFF	TCU	8	8	0	0	0	0	49	52	1
3	Indiana	0	0	$125740	$125740	$ffffff	$125740	IN	5	3	0	0	0	0	47	25	1
4	Maryland	0	1	$1b1f62	$e66e00	$ffffff	$e66e00	MA	8	5	0	0	0	0	17	62	0
5	Georgia	0	1	$c30214	$dc0015	$ffffff	$dc0015	GE	5	10	0	0	0	0	40	15	1
6	Michigan State	0	1	$ffffff	$3289f7	$ffffff	$F1D209	MIS	5	7	0	0	0	2	17	0	1
7	Penn State	0	1	$aaaaaa	$000000	$aaaaaa	$000000	PEN	4	8	0	0	0	1	5	0	0
8	Rutgers	0	2	$161616	$361d7d	$ffffff	$361d7d	RUT	10	7	0	0	0	0	45	19	0
9	Michigan	0	2	$fb4f14	$1a1a1a	$ffffff	$fb4f14	MI	5	7	0	0	0	0	42	14	0
10	Purdue	0	2	$d44200	$4f3531	$FFFFFF	$d44200	PU	8	9	0	0	0	0	40	61	0
11	Iowa	0	2	$000000	$222121	$f8e400	$000000	IW	9	7	1000	0	0	0	38	27	0
12	Nebraska	0	3	$101843	$17205b	$ffffff	$17205B	NE	2	2	0	0	0	2	51	0	1
13	Baylor	0	3	$ffffff	$202e82	$ffffff	$202e82	BB	7	5	0	0	0	1	42	21	0
14	Oklahoma Sooners	0	3	$1b1b1b	$292929	$1b1b1b	$1b1b1b	OKS	4	3	0	0	0	0	50	0	1
15	Texas Longhorns	0	3	$23255d	$181a40	$181A40	$181A40	TL	6	8	0	0	0	0	45	2	0
16	Texas Tech	1	0	$a6b8c3	$ffffff	$87c6eb	$0021ec	TT	5	9	0	0	0	1	39	1	0
17	Kansas State	1	0	$1933d1	$001cc8	$FFFFFF	$001CC8	KS	6	6	0	0	0	0	47	25	0
18	LSU	1	0	$153020	$264933	$ffffff	$1b1b1b	LSU	6	4	0	0	0	0	47	15	1
19	Kentucky	1	0	$4f0f0f	$641313	$FFFFFF	$641313	KE	9	5	0	0	0	0	43	13	0
20	Florida	1	1	$ffffff	$a20000	$ffffff	$a20000	FL	5	5	0	0	0	1	9	0	1
21	Vanderbilt	1	1	$FA	$FA	$FFD100	$FA	VB	7	9	0	0	0	2	17	0	0
22	Auburn	1	1	$ada94b	$a60303	$ada94b	$a60303	AU	6	9	0	0	0	0	24	0	0
23	Arkansas	1	1	$1b2145	$283166	$1b2145	$5fe800	ARK	4	6	0	0	0	0	37	5	1
24	Tennessee	1	2	$0B162A	$0B162A	$ffffff	$C83803	TV	7	4	0	0	0	0	38	35	1
25	Clemson	1	2	$B0B7BC	$3147CD	$B0B7BC	$3147CD	CL	3	2	0	0	0	2	39	32	0
26	Florida State	1	2	$f3d202	$385022	$f3d202	$30441d	FLS	8	10	0	0	0	0	30	48	0
27	Pittsburgh	1	2	$4f1068	$731995	$ffffff	$4f1068	PI	10	6	0	0	0	2	32	53	1
28	Cincinnati Bearcats	1	3	$000000	$000000	$000000	$C80000	CIN	3	4	0	0	0	1	51	1	1
29	Oregon Ducks	1	3	$bab9b9	$101820	$101820	$0085CA	ORE	5	3	0	0	0	0	44	2	0
30	BYU Cougars	1	3	$aba537	$000000	$000000	$000000	BYU	7	8	0	0	0	2	63	0	0
31	Ole Miss	1	3	$434044	$bd0101	$434044	$bd0101	OM	9	10	0	0	0	0	50	0	1
